HCPCS_CD,HCPCS_CD_DESC
0001A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, DILUENT RECONSTITUTED; FIRST DOSE"
0001F,"HEART FAILURE ASSESSED (INCLUDES ASSESSMENT OF ALL THE FOLLOWING COMPONENTS) (CAD): BLOOD PRESSURE MEASURED (2000F) LEVEL OF ACTIVITY ASSESSED (1003F) CLINICAL SYMPTOMS OF VOLUME OVERLOAD (EXCESS) ASSESSED (1004F) WEIGHT, RECORDED (2001F) CLINICAL SIGNS OF VOLUME OVERLOAD (EXCESS) ASSESSED (2002F)"
0001M,"INFECTIOUS DISEASE, HCV, SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL  BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER"
0001U,RED BLOOD CELL TYPING
0002A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, DILUENT RECONSTITUTED; SECOND DOSE"
0002M,"MOLECULAR PATHOLOGY TEST FOR LIVER DISEASE, INCLUDING ALCOHOL LIVER DISEASE (ASH FIBROSURE)"
0002U,MEASUREMENT OF SUBSTANCES IN URINE TO PREDICT LIKELIHOOD OF POLYPS IN LARGE INTESTINE
0003A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, DILUENT RECONSTITUTED; THIRD DOSE"
0003M,"MOLECULAR PATHOLOGY TEST FOR LIVER DISEASE, INCLUDING NON-ALCOHOL LIVER DISEASE (NASH FIBROSURE)"
0003U,MEASUREMENT OF PROTEINS ASSOCIATED WITH OVARIAN CANCER IN SERUM
0004A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, DILUENT RECONSTITUTED; BOOSTER DOSE"
0004M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF CURVED SPINE DEFORMITY (SCOLISCORE TRANSGENOMIC)
0004U,TEST FOR DETECTING GENES ASSOCIATED WITH ANTIBIOTIC RESISTANCE IN BACTERIAL CULTURE
0005A,"ADMINISTRATION OF CORONAVIRUS VACCINE 1, RESERVED"
0005F,"OSTEOARTHRITIS ASSESSED (OA) INCLUDES ASSESSMENT OF ALL THE FOLLOWING COMPONENTS: OSTEOARTHRITIS SYMPTOMS AND FUNCTIONAL STATUS ASSESSED (1006F) USE OF ANTI-INFLAMMATORY OR OVER-THE-COUNTER (OTC) ANALGESIC MEDICATIONS ASSESSED (1007F) INITIAL EXAMINATION OF THE INVOLVED JOINT(S) (INCLUDES VISUAL INSPECTION, PALPATION, RANGE OF MOTION) (2004F)"
0005U,TEST FOR DETECTING GENES ASSOCIATED WITH PROSTATE CANCER IN URINE
0006A,"ADMINISTRATION OF CORONAVIRUS VACCINE 1, RESERVED"
0006M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF LIVER TUMOR (HEPRODX)
0006U,"TESTING FOR PRESENCE OF INTERACTING MEDICATIONS, SUBSTANCES, SUPPLEMENTS AND FOODS IN URINE"
0007A,"ADMINISTRATION OF CORONAVIRUS VACCINE 1, RESERVED"
0007M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF TUMORS IN THE DIGESTIVE SYSTEM (NETEST)
0007U,TESTING FOR PRESENCE OF DRUG IN URINE
0008A,"ADMINISTRATION OF CORONAVIRUS VACCINE 1, RESERVED"
0008M,"ONCOLOGY (BREAST), MRNA ANALYSIS OF 58 GENES USING HYBRID CAPTURE, ON FORMALIN-FIXED PARAFFIN-EMBEDDED (FFPE) TISSUE, PROGNOSTIC ALGORITHM REPORTED AS A RISK SCORE"
0008U,TEST FOR DETECTING HELICOBACTER PYLORI GENES ASSOCIATED WITH ANTIBIOTIC RESISTANCE IN TISSUE SAMPLE
0009A,"ADMINISTRATION OF CORONAVIRUS VACCINE 1, RESERVED"
0009M,"FETAL ANEUPLOIDY (TRISOMY 21, AND 18) DNA SEQUENCE ANALYSIS OF SELECTED REGIONS USING MATERNAL PLASMA, ALGORITHM REPORTED AS A RISK SCORE FOR EACH TRISOMY"
0009U,GENE ANALYSIS OF BREAST TUMOR TISSUE
00100,ANESTHESIA FOR PROCEDURE ON SALIVA GLAND
00102,ANESTHESIA FOR PLASTIC REPAIR OF LIP DEFECT
00103,ANESTHESIA FOR PROCEDURE ON EYELID
00104,ANESTHESIA FOR ELECTROSHOCK THERAPY
0010A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0010M,"ONCOLOGY (HIGH-GRADE PROSTATE CANCER), BIOCHEMICAL ASSAY OF FOUR PROTEINS (TOTAL PSA, FREE PSA, INTACT PSA AND HUMAN KALLIDREIN 2 (HK2)) PLUS PATIENT AGE, DIGITAL RECTAL EXAMINATION STATUS, AND NO HISTORY OF POSITIVE PROSTATE BIOPSY, UTILIZING PLASMA, PROGNOSTIC ALGORITHM REPORTED AS A PROBABILITY SCORE"
0010U,TYPING OF BACTERIAL STRAIN
0011A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 100 MCG/0.5ML DOSAGE; FIRST DOSE"
0011M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF PROSTATE TUMOR (NEOLAB PROSTATE LIQUID BIOPSY)
0011U,PRESCRIPTION DRUG MONITORING IN ORAL FLUID
00120,ANESTHESIA FOR OTHER PROCEDURE ON EXTERNAL MIDDLE AND INNER EAR
00124,ANESTHESIA FOR EXAM OF EAR USING AN ENDOSCOPE
00126,ANESTHESIA FOR INCISION OF EAR DRUM
0012A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 100 MCG/0.5ML DOSAGE; SECOND DOSE"
0012F,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSESSMENT (INCLUDES ALL OF THE FOLLOWING COMPONENTS) (CAP): CO-MORBID CONDITIONS ASSESSED (1026F) VITAL SIGNS RECORDED (2010F) MENTAL STATUS ASSESSED (2014F) HYDRATION STATUS ASSESSED (2018F)
0012M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF BLADDER TUMOR (CXBLADDER DETECT)
0012U,GENE ANALYSIS FOR GERMLINE DISORDER
0013A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 100 MCG/0.5ML DOSAGE; THIRD DOSE"
0013M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF RECURRENT BLADDER TUMOR (CXBLADDER MONITOR)
0013U,GENE ANALYSIS OF SOLID ORGAN TUMOR TISSUE
00140,ANESTHESIA FOR OTHER PROCEDURE ON EYE
00142,ANESTHESIA FOR LENS SURGERY
00144,ANESTHESIA FOR PROCEDURE ON EYE FOR CORNEAL TRANSPLANT
00145,ANESTHESIA FOR RETINAL SURGERY
00147,ANESTHESIA FOR PROCEDURE ON EYE FOR REMOVAL OF IRIS
00148,ANESTHESIA FOR EXAM OF INNER EYE USING AN ENDOSCOPE
0014A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0014F,"COMPREHENSIVE PREOPERATIVE ASSESSMENT PERFORMED FOR CATARACT SURGERY WITH INTRAOCULAR LENS (IOL) PLACEMENT (INCLUDES ASSESSMENT OF ALL OF THE FOLLOWING COMPONENTS) (EC): DILATED FUNDUS EVALUATION PERFORMED WITHIN 12 MONTHS PRIOR TO CATARACT SURGERY (2020F) PRE-SURGICAL (CATARACT) AXIAL LENGTH, CORNEAL POWER MEASUREMENT AND METHOD OF INTRAOCULAR LENS POWER CALCULATION DOCUMENTED (MUST BE PERFORMED WITHIN 12 MONTHS PRIOR TO SURGERY) (3073F) PREOPERATIVE ASSESSMENT OF FUNCTIONAL OR MEDICAL INDICATION(S) FOR SURGERY PRIOR TO THE CATARACT SURGERY WITH INTRAOCULAR LENS PLACEMENT (MUST BE PERFORMED WITHIN 12 MONTHS PRIOR TO CATARACT SURGERY) (3325F)"
0014M,MOLECULAR PATHOLOGY TEST FOR RISK OF SERIOUS LIVER DISEASE WITHIN 5 YEARS (ENHANCED LIVER FIBROSIS (ELF) TEST)
0014U,DNA TEST FOR DETECTING GENE ABNORMALITY ASSOCIATED WITH BLOOD AND LYMPHATIC SYSTEM CANCER IN BLOOD OR BONE MARROW
0015A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0015F,MELANOMA FOLLOW UP COMPLETED (INCLUDES ASSESSMENT OF ALL OF THE FOLLOWING COMPONENTS) (ML): HISTORY OBTAINED REGARDING NEW OR CHANGING MOLES (1050F) COMPLETE PHYSICAL SKIN EXAM PERFORMED (2029F) PATIENT COUNSELED TO PERFORM A MONTHLY SELF SKIN EXAMINATION (5005F)
0015M,"MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF KIDNEY GLAND TUMOR (ADRENAL MASS PANEL, 24 HOUR, URINE)"
0015U,TEST FOR DETECTING GENES ASSOCIATED WITH DRUG METABOLISM IN BLOOD OR CHEEK SWAB
00160,ANESTHESIA FOR OTHER PROCEDURE ON NOSE AND SINUSES
00162,ANESTHESIA FOR EXTENSIVE SURGERY ON NOSE AND SINUSES
00164,ANESTHESIA FOR BIOPSY OF SOFT TISSUE OF NOSE AND SINUS
0016A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0016M,MOLECULAR PATHOLOGY TEST FOR GENETIC ANALYSIS OF BLADDER TUMOR (DECIPHER BLADDER TURBT)
0016U,RNA TEST FOR DETECTING GENE ABNORMALITY ASSOCIATED WITH BLOOD AND LYMPHATIC SYSTEM CANCER IN BLOOD OR BONE MARROW
00170,ANESTHESIA FOR OTHER PROCEDURE ON MOUTH
00172,ANESTHESIA FOR PROCEDURE ON MOUTH TO REPAIR PALATE DEFORMITY
00174,ANESTHESIA FOR PROCEDURE ON THROAT FOR REMOVAL OF TUMOR
00176,ANESTHESIA FOR EXTENSIVE SURGERY ON MOUTH
0017A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0017M,MRNA GENE EXPRESSION PROFILING BY FLUORESCENT PROBE HYBRIDIZATION OF 20 GENES OF DIFFUSE LARGE B-CELL LYMPHOMA IN TISSUE SAMPLE
0017U,JAK2 MUTATION TEST FOR DETECTING GENE ABNORMALITY ASSOCIATED WITH BLOOD AND LYMPHATIC SYSTEM CANCER IN BLOOD OR BONE MARROW
0018A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0018M,"MEASUREMENT OF KIDNEY DONOR AND THIRD-PARTY-INDUCED CD154+T-CYTOTOXIC MEMORY CELLS IN WHOLE PERIPHERAL BLOOD SPECIMEN, ALGORITHM REPORTED AS KIDNEY TRANSPLANT REJECTION RISK SCORE"
0018U,MICRORNA GENE ANALYSIS OF THYROID NODULE TISSUE
00190,ANESTHESIA FOR OTHER PROCEDURE ON FACE BONES OR SKULL
00192,ANESTHESIA FOR EXTENSIVE SURGERY ON FACE BONES OR SKULL
