code,description
22,"UNUSUAL PROCEDURAL SERVICES: WHEN THE SERVICE(S) PROVIDED IS GREATER THAN THAT USUALLY REQUIRED FOR THE LISTED PROCEDURE, IT MAY BE IDENTIFIED BY ADDING MODIFIER -22 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09922. A REPORT MAY ALSO BE APPROPRIATE."
23,"UNUSUAL ANESTHESIA: OCCASIONALLY, A PROCEDURE, WHICH USUALLY REQUIRES EITHER NO ANESTHESIA OR LOCAL ANESTHESIA, BECAUSE OF UNUSUAL CIRCUMSTANCES MUST BE DONE UNDER GENERAL ANESTHESIA. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -23 TO THE PROCEDURE CODE OF THE BASIC SERVICE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09923."
24,"UNRELATED EVALUATION AND MANAGEMENT SERVICE BY THE SAME PHYSICIAN DURING A POSTOPERATIVE PERIOD: THE PHYSICIAN MAY NEED TO INDICATE THAT AN EVALUATION AND MANAGEMENT SERVICE WAS PERFORMED DURING A POSTOPERATIVE PERIOD FOR A REASON(S) UNRELATED TO THE ORIGINAL PROCEDURE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -24 TO THE APPROPRIATE LEVEL OF E/M SERVICE, OR THE SEPARATE FIVE DIGIT MODIFIER 09924 MAY BE USED."
25,"SIGNIFICANT, SEPARATELY IDENTIFIABLE EVALUATION AND MANAGEMENT SERVICE BY THE SAME PHYSICIAN ON THE SAME DAY OF THE PROCEDURE OR OTHER SERVICE: THE PHYSICIAN MAY NEED TO INDICATE THAT ON THE DAY A PROCEDURE OR SERVICE IDENTIFIED BY A CPTCODE WAS PERFORMED, THE PATIENT'S CONDITION REQUIRED A SIGNIFICANT, SEPARATELY IDENTIFIABLE E/M SERVICE ABOVE AND BEYOND THE OTHER SERVICE PROVIDED OR BEYOND THE USUAL PREOPERATIVE AND POSTOPERATIVE CARE ASSOCIATED WITH THE PROCEDURE THAT WAS PERFORMED. THE E/M SERVICE MAY BE PROMPTED BY THE SYMPTOM OR CONDITION FOR WHICH THE PROCEDURE AND/OR SERVICE WAS PROVIDED. AS SUCH, DIFFERENT DIAGNOSES ARE NOT REQUIRED FOR REPORTING OF THE E/M SERVICES ON THE SAME DATE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -25 TO THE APPROPRIATE LEVEL OF E/M SERVICE, OR THE SEPARATE FIVE DIGIT MODIFIER 09925 MAY BE USED. NOTE: THIS MODIFIER IS NOT USED TO REPORT AN E/M SERVICE THAT RESULTED IN A DECISION TO PERFORM SURGERY. SEE MODIFIER -57."
26,"PROFESSIONAL COMPONENT: CERTAIN PROCEDURES ARE A COMBINATION OF A PHYSICIAN COMPONENT AND A TECHNICAL COMPONENT. WHEN THE PHYSICIAN COMPONENT IS REPORTED SEPARATELY, THE SERVICE MAY BE IDENTIFIED BY ADDING THE MODIFIER -26 TO THE USUAL PROCEDURE NUMBER OR THE SERVICE MAY BE REPORTED BY USE OF THE FIVE DIGIT MODIFIER CODE 09926."
27,MULTIPLE OUTPATIENT HOSPITAL E/M ENCOUNTERS ON THE SAME DATE
32,"MANDATED SERVICES: SERVICES RELATED TO MANDATED CONSULTATION AND/OR RELATED SERVICES (EG, PRO, THIRD PARTY PAYER, GOVERNMENTAL, LEGISLATIVE OR REGULATORY REQUIREMENT) MAY BE IDENTIFIED BY ADDING THE MODIFIER '-32' TO THE BASIC PROCEDURE OR THE SERVICE MAY BE REPORTED BY USE OF THE FIVE DIGIT MODIFIER 09932."
33,"PREVENTIVE SERVICES:  WHEN THE PRIMARY PURPOSE OF THE SERVICE IS THE DELIVERY OF AN EVIDENCE BASED SERVICE IN ACCORDANCE WITH A US PREVENTIVE SERVICES TASK FORCE A OR B RATING IN EFFECT AND OTHER PREVENTIVE SERVICES IDENTIFIED IN PREVENTIVE SERVICES MANDATES (LEGISLATIVE OR REGULATORY), THE SERVICE MAY BE IDENTIFIED BY ADDING 33 TO THE PROCEDURE, FOR SEPARATELY REPORTED SERVICES SPECIFICALLY IDENTIFIED AS PREVENTIVE, THE MODIFIER SHOULD NOT BE USED"
47,ANESTHESIA BY SURGEON: REGIONAL OR GENERAL ANESTHESIA PROVIDED BY THE SURGEON MAY BE REPORTED BY ADDING THE MODIFIER -47 TO THE BASIC SERVICE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09947. (THIS DOES NOT INCLUDE LOCAL ANESTHESIA.) NOTE: MODIFIER -47 OR 09947 WOULD NOT BE USED AS A MODIFIER FOR THE ANESTHESIA PROCEDURES 00100-01999.
50,"BILATERAL PROCEDURE: UNLESS OTHERWISE IDENTIFIED IN THE LISTINGS, BILATERAL PROCEDURES THAT ARE PERFORMED AT THE SAME OPERATIVE SESSION SHOULD BE IDENTIFIED BY ADDING THE MODIFIER -50 TO THE APPROPRIATE FIVE DIGIT CODE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09950"
